abk_bahnhof,Name Haltestelle,lat,lon
HA,Hasle-Rüegsau,47.01626279,7.65532242
FIL,Fillistorf,46.86589028,7.226901275
BOEN,Bönigen,46.68939425,7.898056187
ERBF,"Erstfeld, Bahnhof",46.82040157,8.650666531
LNSW,"Langnau i.E., Sonnweg",46.93819699,7.795522294
EGHO,"Eggiwil, Holzmatt",46.8848485,7.785827552
WAPO,"Walliswil b. Wangen, Post",47.23014147,7.680169264
LTHW,Langenthal West (Abzw),47.21288998,7.758249957
ZIE,St. Urban Ziegelei,47.2271987,7.836148952
SURB,St. Urban,47.23175055,7.835816965
CHRM,Wünnewil Chrummatt,46.88308131,7.305562439
PREL,Prêles,47.09273532,7.1307995
SCHG,Schlossberg (Signau),46.90715174,7.712204807
LOTZ,Lotzwil,47.18949368,7.788589052
SOAZ,"Solothurn, Amthausplatz",47.20811934,7.534058912
OBBS,"Oberburg, Bärenstrasse",47.03470502,7.63003353
FRZR,"Frutigen, Zrydsbrügg",46.56628548,7.656855877
ROME,Romont Est (racc),46.7021427,6.923889046
SADI,Sarè (dira),46.04757955,8.947242433
CAMT,Camedo transito,46.15428744,8.603068473
RTW,Riedtwil,47.14015788,7.693276012
WEFR,"Wengi b. Frutigen, Dorf",46.60767253,7.662386959
KDI,Kleindietwil,47.14630792,7.790974691
LNFH,"Langnau i.E., Friedhof",46.94524601,7.775774847
OZKR,"Oberönz, Kreuz",47.17947982,7.694254913
RHPO,"Röthenbach b. H., Post",47.20427398,7.68384074
LYKS,"Lyssach, Kernenriedstrasse",47.07040409,7.566571529
SNAG,Scharnageln,47.2631,7.700789997
BIG,Biglen,46.92461739,7.626702884
VAUL,Vaulruz-Nord,46.62397,6.991410001
STAT,Stutzeck-Axenbergtunnel,46.93278458,8.623966421
GRRI,Grafenried,47.08012,7.511609997
LAED,Lädeli,46.78161364,7.609031671
KIWH,"Kirchberg BE, Wydenhof",47.10095633,7.569779151
BDSM,"Burgdorf, Schlossmatt",47.05167139,7.623460778
OEN,Oensingen,47.28503511,7.709870322
DUED,Düdingen,46.85105246,7.18975321
CHAV,Chavannes,47.08263807,7.132058527
RZO,Ranzo-S. Abbondio,46.11699781,8.776537709
MAG,Magadino-Vira,46.14531572,8.850189043
CHSM,Chiasso Smistamento,45.83650502,8.999077349
LTNH,"Langenthal, Neuhof",47.2033231,7.79647008
SEBP,"Seeberg BE, Stalderhof",47.15454682,7.66829132
LNHU,"Langnau i.E., Hübeli",46.94490243,7.773303367
ZOZE,"Zollbrück, Zentrum",46.97165702,7.749933726
ZOFS,"Zollbrück, Frittenbachstrasse",46.97412251,7.746294546
CD,Cadenazzo,46.15261999,8.9416989
KABF,"Kandersteg, Bahnhof",46.49539732,7.67181138
STPN,St. Petersinsel Nord,47.06831772,7.135613814
MIBA,"Mitholz, Balmhorn",46.52729006,7.674633115
MAOG,Galleria Maroggia,45.94153893,8.967369515
BIBU,"Biel/Bienne, Bubenbergstrasse",47.14156855,7.251247186
HWFR,"Huttwil, Friedhof",47.11169165,7.85546596
LENSS,Lengnau Schutzstrecke,47.18568342,7.380971437
LTBL,"Langenthal, Bleichestrasse",47.20797795,7.786152833
LTID,"Langenthal, Industrie Nord",47.22666799,7.786498581
LTGA,"Langenthal, Gaswerkstrasse",47.22383377,7.780776336
OHDB,Oberhard BE,47.03423434,7.525915587
TAVS,Taverne-Torricella Sud (bif),46.05245628,8.928372608
LTRM,"Langenthal, Rumimatte",47.20118288,7.784498638
LTEW,"Langenthal, Elzweg",47.21392545,7.797266959
LAVSS,Lavorgo Schutzstrecke,46.45193999,8.830785967
UHDB,Unterhard BE,47.03527095,7.525913822
KIER,"Kirchberg BE, Elsässer",47.07931608,7.590531343
WENE,Wengi-Ey (Abzw),46.61247647,7.674244183
CAME,Camedo,46.15487,8.611000003
BDKO,"Burgdorf, Kornhaus",47.05818602,7.627629297
LTHA,Langenthal [Gleis 4-5],47.21763429,7.784499249
HELO,"Heimiswil, Löwen",47.05974939,7.654263141
HSDO,"Hasle b.B., Dorf",47.01597086,7.644197519
BDZI,"Burgdorf, Ziegelei",47.04674121,7.63489272
BDPO,"Burgdorf, Parkhaus Oberstadt",47.05451143,7.624944614
PTIO,Ponte Ticino Ovest (c bin),46.16704743,8.907562633
BOLI,Bolligen,46.96954,7.497420002
SOLD,Solduno,46.16953,8.777649996
BTH,Balsthal,47.31319314,7.694668708
RUB,Rubigen,46.89916974,7.54536836
KF,Konolfingen,46.88070242,7.621367027
SCSC,Pian Scairolo Sottocentrale,45.97978312,8.927310102
PIBF,"Pieterlen, Bahnhof",47.17137993,7.339266351
SIFO,Sigirino finestra ouvest,46.08022045,8.92568373
BDFW,Burgdorf West (Abzw),47.06111773,7.616313266
SIGN,Signau,46.91963508,7.72546317
SF,Seftigen,46.78684669,7.54028893
BWA,Burgistein,46.78943768,7.521226725
VG,Villars-sur-Glâne,46.78982982,7.116385624
